,index,ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,CODE,DIAMETREARBREAUNMETRE,ESPECE,GENRE_BOTA,PLU,SEVERITEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,ARBREDEVOIRIE,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAITEMENTCHENILLES,TRAVAUXPRECONISESDIAG,TROTTOIR,VIGUEUR,DEFAUT,Collet,Houppier,Racine,Tronc,latitude,longitude,TETEDECHAT,LIERRE,CEPEE
21,22,4,2004,2013,2016,ESP6650,30,nigra,Pinus,0,1,2,0,1,1,3,2,0,1,0,0,0,0,0,5.734498325190901,45.17134038202639,0,0,0
22,23,3,2004,2013,2014,ESP26217,30,tomentosa,Tilia,0,0,2,1,1,1,0,2,1,3,0,0,0,0,0,5.733924391900458,45.181939748546185,0,0,0
23,24,5,2004,2014,2014,ESP7512,10,pseudoplatanus,Acer,0,1,2,0,1,1,0,2,0,1,1,0,1,0,0,5.727349151599977,45.18409776691403,0,0,0
24,25,3,2004,2013,2015,ESP9364,40,arizonica,Cupressus,0,0,2,1,1,1,0,0,1,3,0,0,0,0,0,5.727009650615131,45.17706377505561,0,0,0
25,26,3,2004,2014,2015,ESP22380,100,acerifolia,Platanus,0,0,3,0,1,1,0,2,0,3,1,0,1,0,0,5.720756585135239,45.175870931632694,0,0,0
26,27,5,2004,2015,2017,ESP15467,20,nigra,Pinus,0,0,3,1,1,1,2,0,0,3,0,0,0,0,0,5.73704539112298,45.190856442303776,0,0,0
27,28,0,2004,2014,2014,ESP15876,10,cordata,Tilia,0,1,2,1,1,1,0,0,0,3,1,0,0,0,1,5.715151297764412,45.188399650514164,0,0,0
28,29,5,2004,2014,2016,ESP7548,40,tulipifera,Liriodendron,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.7413764847915765,45.19858706210947,0,0,0
29,31,2,2004,2014,2014,ESP9470,30,acerifolia,Platanus,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.723622381633875,45.159740337351614,0,0,0
30,32,1,2004,2014,2016,ESP11204,10,carica,Ficus,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,5.710480239417189,45.17511413363365,0,0,1
31,33,1,2004,2013,2015,ESP11154,70,japonica,Sophora,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.705255937139573,45.16621270083384,0,0,0
32,34,2,2004,2015,2018,ESP23980,10,siliquastrum,Cercis,0,0,3,0,1,1,0,1,0,3,1,0,0,0,1,5.7316013792981755,45.162350213524576,0,0,0
33,35,5,2004,2014,2017,ESP6888,40,betulus,Carpinus,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.738040741002801,45.191820283181414,0,0,0
34,36,1,2004,2014,2014,ESP21096,30,nigra,Pinus,0,0,3,0,1,1,3,1,0,3,0,0,0,0,0,5.710538432685499,45.17536034677623,0,0,0
35,37,1,2009,2013,2015,ESP28809,10,australis,Celtis,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.705146393309119,45.163569872602736,0,0,0
36,38,2,2004,2014,2014,ESP4702,20,nigra,Pinus,0,0,3,1,1,1,3,1,0,3,0,0,0,0,0,5.73307301751991,45.154236672994934,0,0,0
37,39,1,2005,2015,2020,ESP3266,10,?,Carpinus,0,0,3,1,1,1,0,1,1,3,1,0,0,0,1,5.706489739908087,45.1739912195066,0,0,0
38,40,4,2004,2015,2017,ESP16628,20,styraciflua,Liquidambar,0,0,3,0,1,1,0,1,0,1,1,0,1,0,0,5.738229575593342,45.172359983374406,0,0,0
39,41,2,2004,2015,2017,ESP15996,10,campestris,Acer,0,1,2,0,1,1,0,1,0,1,1,0,1,0,1,5.7371456515387225,45.16599346002111,0,0,0
40,42,1,2004,2015,2016,ESP29153,30,altissima,Ailanthus,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.7072431194685995,45.167231344175576,0,1,0
41,43,3,2004,2013,2015,ESP22341,20,japonica,Sophora,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.719277361768415,45.17506349294999,0,0,0
42,44,4,2004,2015,2018,ESP24231,20,styraciflua,Liquidambar,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.738709505703723,45.170293445796055,0,0,0
43,45,0,2014,2014,2020,ESP33186,10,floribunda,Malus,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.7045358067451275,45.18601977469022,0,0,0
44,46,1,2004,2014,2019,ESP7781,30,platanoides,Acer,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.705329062791249,45.17541206623245,0,0,0
45,47,4,2004,2013,2015,ESP29949,0,sempervirens,Cupressus,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.74806682893025,45.181396257082476,0,0,0
46,48,1,2004,2013,2015,ESP26681,50,pseudoacacia,Robinia,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.704875133527364,45.16326197970748,0,0,0
47,49,5,2004,2013,2015,ESP24129,10,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.736602720826211,45.188988285709364,0,0,0
48,50,1,2004,2013,2015,ESP24767,60,pseudoplatanus,Acer,0,0,3,0,1,1,0,0,0,3,1,1,1,0,1,5.705228239511252,45.165220259748516,0,0,0
49,51,2,2004,2013,2017,ESP4554,50,tomentosa,Tilia,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.73399970995089,45.16781562805609,0,0,0
50,52,4,2004,2013,2018,ESP6649,80,acerifolia,Platanus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.735465817795997,45.16900168344242,0,0,0
51,53,4,2004,2013,2015,ESP29789,10,baccata,Taxus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.7352252978466,45.169635256316134,0,0,0
52,54,0,2004,2015,2016,ESP27626,10,tomentosa,Tilia,0,1,2,0,1,1,0,0,0,1,1,0,1,0,0,5.715279981302973,45.18569204956704,0,0,0
53,55,5,2004,2014,2014,ESP18517,50,acerifolia,Platanus,0,0,3,1,1,1,0,3,0,3,1,0,1,0,0,5.733543067522214,45.194511684211186,0,0,0
54,56,0,2004,2015,2015,ESP26059,50,saccharinum,Acer,0,0,3,0,1,1,0,0,0,3,1,0,1,0,0,5.704646526349113,45.181223398948596,0,0,0
55,57,3,2004,2014,2016,ESP20886,20,saccharinum,Acer,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.73161157610684,45.17870589823102,0,0,0
56,58,5,2004,2015,2016,ESP10040,80,acerifolia,Platanus,1,2,0,1,2,2,0,3,1,0,1,1,1,1,1,5.718010756112044,45.194157087100336,1,0,0
57,59,4,2004,2015,2017,ESP29063,20,tomentosa,Paulownia,0,1,3,0,0,1,0,0,0,3,0,0,0,0,0,5.743015775927933,45.17579148391772,0,0,0
58,60,5,2004,2015,2015,ESP18648,80,pseudoplatanus,Acer,0,2,0,0,2,2,0,2,0,3,1,1,1,1,0,5.734380784058677,45.19562123471134,0,0,0
59,61,4,2004,2013,2016,ESP21623,10,americana,Fraxinus,0,0,3,0,1,0,0,1,0,3,0,0,0,0,0,5.744582143467024,45.17512460109149,0,0,0
60,62,0,2004,2014,2019,ESP21968,20,bombycis,Morus,0,0,3,0,1,1,0,2,0,3,1,0,0,0,1,5.7047212935207074,45.18035777098077,0,1,0
61,63,5,2014,2014,2020,ESP32924,10,platanor,Platanus,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,5.719834464045634,45.18998712612129,0,0,0
62,64,1,2004,2015,2020,ESP19980,50,acerifolia,Platanus,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.703002772379881,45.17214367404898,0,0,0
63,65,2,2004,2015,2018,ESP1769,10,pseudoacacia,Robinia,0,1,3,0,1,1,0,1,0,3,1,0,1,0,0,5.736954067262512,45.16036383837907,0,0,0
64,66,2,2014,2014,2020,ESP33608,10,ornus,Fraxinus,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,5.726717467118569,45.16599179072369,0,0,0
65,67,1,2004,2013,2016,ESP6139,40,acerifolia,Platanus,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.711535630864707,45.16504920154809,1,0,0
66,68,1,2004,2014,2014,ESP14496,20,cordata,Alnus,0,0,3,1,1,1,0,1,1,3,1,0,0,0,1,5.704464587453394,45.1603819408282,0,0,0
67,69,1,2004,2013,2012,ESP8383,50,platanoides,Acer,0,1,3,0,1,1,0,0,0,3,1,0,1,0,0,5.702897273000065,45.16750881561108,0,0,0
68,70,3,2004,2014,2014,ESP27171,50,robur,Quercus,0,0,3,0,1,1,0,2,0,3,1,0,1,1,0,5.739448758262345,45.17513593889883,0,0,0
69,71,4,2004,2014,2015,ESP29088,50,excelsior,Fraxinus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.7421473972140475,45.1683969826191,0,0,0
70,72,1,2015,2015,2020,ESP33757,10,domestica,Malus,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.710459922338732,45.17682494704323,0,0,0
71,73,3,2004,2013,2014,ESP22646,30,japonica,Sophora,0,0,3,1,1,1,0,3,1,3,1,0,1,0,0,5.718647862160041,45.174797320714404,0,0,0
72,74,0,2014,2014,2020,ESP32978,10,cappadocicum,Acer,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,5.716578581244582,45.181318104739056,0,0,0
73,75,0,2004,2013,2016,ESP29715,30,australis,Celtis,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.71132199346391,45.20039466701595,0,0,0
74,76,2,2008,2015,2017,ESP5819,10,cappadocicum,Acer,0,0,3,1,0,0,0,1,0,3,1,1,0,0,0,5.72999691849986,45.166416975202786,0,0,0
75,77,5,2004,2015,2016,ESP16165,30,lawsoniana,Chamaecyparis,0,2,0,0,1,1,0,3,0,1,1,0,1,0,0,5.743659779004515,45.19208840189802,0,0,0
76,78,2,2004,2013,2014,ESP12730,30,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.728939022815488,45.16306088165202,0,0,0
77,79,2,2005,2015,2017,ESP1755,10,serrulata,Prunus,0,0,3,0,1,0,0,0,0,3,1,1,0,0,0,5.72264420215357,45.16529073894015,0,0,0
78,80,4,2004,2015,2018,ESP7721,10,styraciflua,Liquidambar,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.734863696326791,45.16932496336642,0,0,0
79,81,0,2004,2014,2014,ESP31226,30,nigra,Populus,0,1,2,1,1,1,0,3,0,0,1,0,0,0,1,5.712331381976092,45.1993054314165,0,0,0
80,82,3,2004,2013,2014,ESP3508,50,tomentosa,Tilia,0,0,2,1,1,1,0,2,1,3,1,0,0,1,0,5.728847913325668,45.18189666320838,0,0,0
81,83,1,2004,2013,2015,ESP9130,30,acerifolia,Platanus,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.703802700120622,45.17226950619518,0,0,0
82,84,4,2004,2013,2015,ESP15802,30,acerifolia,Platanus,0,0,2,1,1,1,0,0,1,1,0,0,0,0,0,5.742716521676308,45.16765223783543,0,0,0
83,85,5,2004,2014,2014,ESP6047,70,acerifolia,Platanus,0,1,2,1,1,1,0,3,0,1,1,0,1,0,0,5.73290120186026,45.19412788759704,1,0,0
84,86,0,2014,2014,2019,ESP33306,10,tulipifera,Liriodendron,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.700221360533014,45.20506757671942,0,0,0
85,87,0,2004,2014,2014,ESP25729,40,acerifolia,Platanus,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.711428078989483,45.19767178039281,0,0,0
86,88,4,2011,2015,2018,ESP24553,30,hippocastanum,Aesculus,0,0,3,0,0,1,0,1,1,3,0,0,0,0,0,5.739149697330026,45.17260817889965,0,0,0
87,89,4,2004,2015,2017,ESP9171,10,cappadocicum,Acer,0,0,3,1,0,1,0,1,0,3,0,0,0,0,0,5.742468186701821,45.17237112648681,0,0,0
88,90,0,2014,2014,2019,ESP33285,10,sylvestris,Pinus,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.699907585078212,45.205391514983674,0,0,0
89,91,2,2011,2015,2017,ESP10502,10,utilis,Betula,0,0,3,0,1,1,0,1,1,3,0,0,0,0,0,5.725573113265378,45.167416422258846,0,0,0
90,92,2,2004,2013,2016,ESP23961,40,excelsior,Fraxinus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.7335820850375345,45.16836858567025,0,0,0
91,93,1,2004,2015,2016,ESP24817,30,altissima,Ailanthus,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.707107292122207,45.16717078198496,0,1,0
92,94,4,2004,2014,2016,ESP31148,10,platanoides,Acer,0,0,3,1,1,1,0,0,1,1,0,0,0,0,0,5.742030601649529,45.17131875020401,0,0,0
93,95,1,2004,2013,2015,ESP7260,20,serrulata,Prunus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.707804129300747,45.16482520549278,0,0,0
94,96,5,2004,2014,2014,ESP22843,30,styraciflua,Liquidambar,0,0,3,1,1,1,0,1,1,3,1,0,1,0,0,5.738984257685387,45.19885675105976,0,0,0
95,97,1,2004,2015,2018,ESP20405,10,verrucosa,Betula,0,0,3,1,1,0,0,1,0,3,0,0,0,0,0,5.714129414469837,45.18019845554916,0,0,0
96,98,0,2004,2013,2015,ESP1813,20,japonica,Sophora,0,0,2,1,1,1,0,0,0,3,0,0,0,0,0,5.708995382142636,45.19292839032086,0,0,0
97,99,4,2004,2013,2016,ESP29089,60,pseudoacacia,Robinia,0,1,2,0,1,1,0,0,0,3,0,0,0,0,0,5.735775281146201,45.16993933304949,0,0,0
98,100,2,2005,2015,2016,ESP12173,20,campestre,Acer,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,5.722744713612619,45.165293162485504,0,0,0
99,101,3,2012,2013,2015,ESP21749,20,nigra,Pinus,0,0,2,1,0,1,2,0,0,1,0,0,0,0,0,5.724225107407943,45.1746791226436,0,0,0
100,102,5,2011,2014,2015,ESP28663,20,grandiflora,Magnolia,0,0,3,0,0,1,0,1,0,3,0,0,0,0,0,5.733289769617533,45.1957578454423,0,0,0
101,103,5,2004,2013,2015,ESP17150,30,hippocastanum,Aesculus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.7232877802649345,45.18894913718549,0,0,0
102,104,5,2004,2015,2017,ESP28211,0,indica,Lagerstroemia,0,1,2,0,1,1,0,0,0,3,1,0,1,0,0,5.720850598471792,45.19465113586474,0,0,0
103,105,1,2004,2015,2015,ESP13954,30,platanoides,Acer,0,4,0,0,1,1,0,3,1,0,1,0,1,0,0,5.706686782148252,45.176776276575424,0,0,0
104,106,5,2004,2014,2014,ESP12277,20,styraciflua,Liquidambar,0,0,3,1,1,1,0,1,0,3,1,0,0,0,1,5.7371969559955165,45.19769148142965,0,0,0
105,107,5,2004,2015,2017,ESP28344,10,tulipifera,Liriodendron,0,0,2,1,1,1,0,1,0,3,0,0,0,0,0,5.7301929609213476,45.18318127193424,0,0,0
106,108,1,2004,2013,2015,ESP5578,40,cordata,Tilia,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.706409060507717,45.163605927981855,0,0,0
107,109,1,2004,2015,2017,ESP26519,10,excelsior,Fraxinus,0,0,3,0,1,1,0,0,1,3,0,0,0,0,0,5.7020685149361405,45.1677907968764,0,0,0
108,110,5,2004,2015,2017,ESP5964,20,platyphyllos,Tilia,0,1,0,1,1,1,0,1,1,3,1,0,0,0,1,5.72594203889963,45.19023073601579,0,0,0
109,111,4,2004,2015,2018,ESP9167,20,siliquastrum,Cercis,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,5.742789997970062,45.17263411592366,0,0,0
110,112,3,2004,2015,2017,ESP24456,20,lawsoniana,Chamaecyparis,0,1,2,0,1,1,0,0,0,3,1,1,0,1,0,5.720364924248233,45.18037042842094,0,0,0
111,113,5,2004,2014,2016,ESP18824,20,verrucosa,Betula,0,0,3,0,1,1,0,2,0,3,0,0,0,0,0,5.737047118575631,45.192895645999016,0,0,1
112,114,0,2004,2013,2020,ESP27631,20,cordata,Tilia,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.704022805935046,45.181793044519154,0,0,0
113,115,4,2004,2014,2014,ESP20695,10,hippocastanum,Aesculus,0,0,3,1,1,0,0,0,1,3,1,0,0,0,1,5.741822316658018,45.17133794914465,0,0,0
114,116,4,2004,2015,2017,ESP19438,40,exelsa,Picea,0,1,3,0,1,1,0,0,0,1,1,0,0,0,1,5.7347929432607385,45.18230017808308,0,0,0
115,117,2,2004,2015,2018,ESP20781,30,saccharinum,Acer,0,1,2,0,1,1,0,1,0,1,1,0,1,0,1,5.733272089576814,45.1678093573731,0,0,1
116,118,4,2004,2015,2017,ESP29781,10,betulus,Carpinus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.741063945100839,45.18923170421927,0,0,0
117,119,5,2004,2013,2015,ESP28480,80,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.735695793524953,45.186906910718804,0,0,0
118,120,0,2004,2015,2018,ESP12973,20,tomentosa,Tilia,0,0,3,0,1,1,0,1,1,3,0,0,0,0,0,5.710465780788865,45.19296089722022,0,0,0
119,121,5,2004,2015,2016,ESP28234,10,pseudoplatanus,Acer,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.727745116764273,45.183575219224004,0,0,0
120,122,2,2004,2015,2020,ESP4694,20,nigra,Juglans,0,1,3,0,1,1,0,1,0,3,1,0,1,0,0,5.724923011322954,45.163525705360456,0,0,0
121,123,3,2004,2014,2014,ESP14637,0,acerifolia,Platanus,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,5.735522101677122,45.17712684869178,0,0,0
122,124,5,2004,2015,2017,ESP27112,20,grandiflora,Magnolia,0,1,2,1,1,1,0,0,0,1,1,0,0,0,1,5.729403378706972,45.183181817935086,0,0,0
123,125,1,2004,2015,2017,ESP13929,30,triacanthos,Gleditsia,0,0,3,0,1,1,0,0,0,3,1,0,0,0,1,5.703863412337732,45.17162570699076,0,0,0
124,126,5,2004,2013,2015,ESP8786,20,tomentosa,Tilia,0,0,3,1,1,1,0,0,0,3,0,0,0,0,0,5.7224929182645035,45.1894788079121,0,0,0
125,127,1,2009,2015,2017,ESP21699,0,styraciflua,Liquidambar,0,1,0,1,0,0,0,0,1,3,1,1,0,0,1,5.704481190783187,45.17988717514904,0,0,0
126,128,5,2004,2014,2016,ESP28683,20,verrucosa,Betula,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.741681186901215,45.19872272349755,0,0,0
127,129,1,2004,2013,2015,ESP7791,40,occidentalis,Celtis,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.714975538280052,45.17934125552985,0,0,0
128,130,1,2004,2013,2015,ESP23334,50,australis,Celtis,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.714857728162446,45.179045371100585,0,0,0
129,131,1,2014,2014,2020,ESP32576,10,babylonica,Salix,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,5.7071200140655645,45.16591181250701,0,0,0
130,132,2,2004,2015,2017,ESP2457,10,sylvestris,Pinus,0,1,2,0,1,1,0,0,0,1,1,0,0,0,1,5.721620204625946,45.16278068472198,0,0,0
131,133,4,2004,2014,2014,ESP20128,50,chrysocoma,Salix,0,1,2,0,1,1,0,0,0,3,1,0,1,0,1,5.748940213278113,45.170834923117305,0,0,0
132,134,4,2005,2015,2017,ESP11262,10,acerifolia,Platanus,0,0,3,1,1,1,0,1,0,3,0,0,0,0,0,5.732849601631644,45.18544284142188,0,0,0
133,135,1,2004,2013,2015,ESP19633,20,colurna,Corylus,0,0,3,0,1,1,0,0,0,3,0,0,0,0,0,5.714415309186931,45.17884072089425,0,0,0
134,136,0,2004,2014,2014,ESP13595,20,platanoides,Acer,0,1,2,1,1,1,0,2,1,1,1,0,1,0,0,5.714323437182078,45.193252986039724,0,0,0
135,137,4,2004,2014,2014,ESP9218,20,styraciflua,Liquidambar,0,0,3,0,1,1,0,2,0,3,1,0,1,1,0,5.744681778890658,45.18536260969675,0,0,0
136,138,5,2004,2015,2017,ESP9327,70,acerifolia,Platanus,1,3,0,1,2,2,0,0,1,0,1,1,1,0,1,5.716757424865441,45.195542161708886,1,0,0
137,139,3,2004,2014,2014,ESP7240,70,acerifolia,Platanus,0,3,0,0,1,1,0,3,0,3,1,0,1,0,1,5.71916109893605,45.17678522709024,0,0,0
138,140,5,2009,2014,2016,ESP18156,0,sempervirens,Cupressus,0,0,3,1,1,0,0,0,1,3,0,0,0,0,0,5.726358368181269,45.18603467868326,0,0,0
139,141,4,2004,2015,2020,ESP11332,10,betulus,Carpinus,0,0,3,0,1,1,0,1,1,3,0,0,0,0,0,5.746716403570783,45.18837736102209,0,0,0
140,142,4,2010,2015,2017,ESP17051,30,hippocastanum,Aesculus,0,0,3,0,0,1,0,1,1,3,0,0,0,0,0,5.738990533444777,45.172925873710724,0,0,0
141,143,5,2004,2014,2016,ESP11464,10,verrucosa,Betula,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,5.737496878532327,45.18929672599889,0,0,0
142,144,0,2014,2014,2019,ESP33401,10,spaitii,Alnus,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0,5.705255901787723,45.20169056104888,0,0,0
143,145,2,2004,2015,2020,ESP16769,20,platanoides,Acer,0,0,3,0,1,1,0,1,0,3,0,0,0,0,0,5.729792998105549,45.16368091954366,0,0,0
144,146,3,2004,2013,2015,ESP11216,10,pseudoplatanus,Acer,0,2,0,1,1,1,0,0,0,1,1,0,0,0,1,5.725506597744504,45.17528223789557,0,0,0
145,147,3,2004,2015,2020,ESP5069,20,campestris,Acer,0,1,3,0,1,1,0,1,0,3,1,0,1,0,0,5.73595552877126,45.17361337352493,0,0,0
146,148,3,2004,2013,2016,ESP7225,40,pseudoacacia,Robinia,0,1,2,0,1,1,0,0,0,3,1,0,1,0,1,5.735331976434801,45.18046827645653,0,1,0
147,149,0,2004,2014,2014,ESP6693,20,americana,Tilia,0,0,3,1,1,1,0,1,1,3,0,0,0,0,0,5.716600059796341,45.18651878040733,0,0,0
148,150,3,2004,2014,2014,ESP23681,70,acerifolia,Platanus,0,0,3,0,1,1,0,2,0,3,1,0,1,1,0,5.718634633741482,45.17687716362475,0,0,0
149,151,2,2004,2015,2020,ESP10534,40,pseudoplatanus,Acer,0,1,3,0,1,1,0,1,0,3,1,0,1,0,0,5.7263492370439435,45.16355106399675,0,0,0
150,152,4,2004,2013,2016,ESP9242,20,platanoides,Acer,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.73627965040084,45.16858558358859,0,0,0
151,153,4,2004,2014,2016,ESP12785,110,alba,Populus,0,0,2,0,1,1,0,2,0,1,1,1,0,1,1,5.738237642930897,45.17274643123938,0,0,0
152,154,0,2004,2013,2018,ESP18705,20,negundo,Acer,0,0,2,1,1,1,0,1,1,1,0,0,0,0,0,5.704969514691184,45.181647371612215,0,0,0
153,155,2,2004,2015,2017,ESP12166,10,utilis,Betula,0,0,3,0,1,1,0,1,1,3,0,0,0,0,0,5.725626262134908,45.16623575416445,0,0,0
154,156,5,2011,2014,2015,ESP25376,10,cerris,Quercus,0,0,3,0,0,0,0,1,0,3,0,0,0,0,0,5.735596429009423,45.195579775925985,0,0,0
155,157,2,2004,2013,2015,ESP23304,40,acerifolia,Platanus,0,0,3,1,1,1,0,0,1,3,0,0,0,0,0,5.735048852296005,45.15680571495594,0,0,0
